companyLabel,executiveLabel,universityLabel,degreeLabel
Fortescue Metals Group,Elizabeth Gaines,Perth Modern School,
Ping An Insurance,Ma Mingzhe,Zhongnan University of Economics and Law,
Credit Suisse,Tidjane Thiam,Mines ParisTech,
British Land,Chris Grigg,King Edward VI School,
WPP plc,Mark Read,Trinity College,
Raiffeisenlandesbank Oberösterreich,Heinrich Schaller,Aloysian College. Austria,
Shire plc,Flemming Ørnskov,University of Copenhagen,
Steak 'n Shake,Sardar Biglari,Trinity University,
Raiffeisenlandesbank Oberösterreich,Q136868789,Johannes Kepler University Linz,
Reckitt,Nicandro Durante,Pontifícia Universidade Católica de São Paulo,
Nexen,Victor Zaleschuk,University of Saskatchewan,
WPP plc,Mark Read,INSEAD,
Co-operatives UK,Ed Mayo,Bayes Business School,
Lundbeck,Q136192540,University of Cape Town,
Nexen,Charlie Fischer,University of Calgary,
Barclays,Jes Staley,Bowdoin College,
Saudi Oger,Ayman Hariri,Georgetown University,
Credit Suisse,Tidjane Thiam,École polytechnique,
Valero Energy,Joseph Gorder,University of Missouri,
Global Telecom Holding,Naguib Sawiris,ETH Zurich,
Global Telecom Holding,Naguib Sawiris,Deutsche Evangelische Oberschule,
Shire plc,Flemming Ørnskov,INSEAD,
FEV,Franz Pischinger,Graz University of Technology,
Credit Suisse,Tidjane Thiam,Lycée classique d'Abidjan,
Credit Suisse,Tidjane Thiam,Lycée privé Sainte-Geneviève,
Co-operatives UK,Ed Mayo,Downing College,
Tod's S.p.A.,Diego Della Valle,University of Bologna,
Broadcom,Tan Hock Eng,Harvard Business School,
GM Performance Power Units,Russ O'Blenes,Worcester Polytechnic Institute,
Halyk Bank of Kazakhstan,Umut Shayakhmetova,Rutgers University,
Nippon Steel Corporation,Eiji Hashimoto,Hitotsubashi University,
Cox Enterprises,Alexander C. Taylor,Vanderbilt University,
Raiffeisenlandesbank Oberösterreich,Heinrich Schaller,Johannes Kepler University Linz,
NIS,Kirill Kravchenko,Lomonosov Moscow State University,
Capital One,Richard Fairbank,Stanford University,
Valero Energy,William R. Klesse,University of Dayton,
Freeport-McMoRan,Richard Adkerson,Harvard University,
Credit Suisse,Thomas Gottstein,University of Zurich,
Blackstone Inc.,Stephen A. Schwarzman,Yale University,
Unity Line,Jarosław Kotarski,Faculty of Law and Administration of Adam Mickiewicz University in Poznań,
Shire plc,Rolf Stahel,Harvard Business School,
CoreCivic,Damon T. Hininger,Kansas State University,
Dow Chemical Company,Jim Fitterling,University of Missouri,
Reliance Industries Limited,Mukesh Ambani,Stanford University,
Co-operatives UK,Pauline Green,London School of Economics and Political Science,
Goldman Sachs,David M. Solomon,Hamilton College,
Blackstone Inc.,Stephen A. Schwarzman,Davenport College,
BNP Paribas CIB,Olivier Osty,Paris Dauphine University,
Capital One,Richard Fairbank,Stanford Graduate School of Business,
Shire plc,Flemming Ørnskov,Harvard T.H. Chan School of Public Health,
BNP Paribas CIB,Olivier Osty,CentraleSupélec,
ING,Karien van Gennip,Aloysius College,diplôme d'ingénieur
GN Store Nord,Jørgen Lindegaard,Technical University of Denmark,Master of Science in Engineering
National Grid plc,Steve Holliday,Okehampton College,
Rusal,Oleg Deripaska,MSU Faculty of Physics,
"Nasdaq, Inc.",Adena Friedman,Vanderbilt University,
Vista Oil & Gas,Miguel Galluccio,Buenos Aires Institute of Technology,
SAS Institute,James Goodnight,New Hanover High School,
Harman International Industries,Dinesh Paliwal,Indian Institute of Technology Roorkee,
The Home Depot,Craig Menear,Eli Broad College of Business,
The Home Depot,Craig Menear,Flint Central High School,
Evraz,Aleksandr Frolov,Moscow Institute of Physics and Technology,
KGHM Polska Miedź,Radosław Domagalski-Łabędzki,University of Łódź,
"Nasdaq, Inc.",Adena Friedman,Williams College,
Orange Polska,Maciej Witucki,Poznań University of Technology,
Orange Polska,Bruno Duthoit,Télécom Paris,
Harman International Industries,Dinesh Paliwal,Dr. Hari Singh Gour University,
Ivchenko-Progress,Fyodor Muravchenko,National Aerospace University – Kharkiv Aviation Institute,Doctor in Engineering
National Grid plc,Steve Holliday,University of Nottingham,
Orange Polska,Bruno Duthoit,École polytechnique,
Ivchenko-Progress,Oleksandr Ivchenko,Kharkiv Polytechnic Institute,Doctor in Engineering
"Nasdaq, Inc.",Adena Friedman,Roland Park Country School,
Alibaba Group,Joseph Tsai,Lawrenceville School,
Alibaba Group,Joseph Tsai,Yale Law School,
Man Group,Emmanuel Roman,University of Chicago,
The Home Depot,Craig Menear,Michigan State University Eli Broad College of Business,
AMC Theatres,Adam Aron,Abington Senior High School,
AMC Theatres,Adam Aron,Harvard Business School,
Lowe's,Marvin Ellison,University of Memphis,
Silicon Valley Bank,Greg Becker,Indiana University Kelley School of Business,Bachelor of Arts
Skanska,Rudolf Fredrik Berg,Royal Institute of Technology,
ING,Karien van Gennip,INSEAD,Master of Business Administration
Man Group,Emmanuel Roman,Paris Dauphine University,
Invitalia,Domenico Arcuri,Luiss University,
Tishman Speyer,Jerry Speyer,Columbia University,
Metlen Energy & Metals,Evangelos Mytilineos,London School of Economics and Political Science,
Alibaba Group,Joseph Tsai,Yale College,
ING,Karien van Gennip,INSEAD,diplôme d'ingénieur
Prudential plc,Mike Wells,bachelor's degree,
Man Group,Emmanuel Roman,Booth School of Business,
The Home Depot,Frank Blake,Harvard University,
Lowe's,Marvin Ellison,Haywood High School,
Komerční banka,Jan Juchelka,Silesian University in Opava,
Skanska,Melker Schörling,"School of Business, Economics and Law",
Ivchenko-Progress,Vladimir Lotariev,National Aerospace University – Kharkiv Aviation Institute,Doctor in Engineering
Big Mamma,Tigrane Seydoux,HEC Paris,
Big Mamma,Victor Lugger,HEC Paris,
ING,Karien van Gennip,Delft University of Technology,Master of Business Administration
Metlen Energy & Metals,Evangelos Mytilineos,National and Kapodistrian University of Athens,
Telstra,Andy Penn,Harvard Business School,
Tishman Speyer,Jerry Speyer,Horace Mann School,
The Home Depot,Frank Blake,Columbia Law School,
Whirlpool,Marc Bitzer,University of St. Gallen,
Gazprom Export,Elena Burmistrova,Lomonosov Moscow State University,
Gazprom Export,Elena Burmistrova,Moscow State Linguistic University,
Mistwalker,Hironobu Sakaguchi,Yokohama National University,
Skanska,Melker Schörling,University of Gothenburg,
Prudential plc,Mike Wells,San Diego State University,
Huawei Symantec,Ren Zhengfei,Chongqing Jianzhu University,
ING,Karien van Gennip,Delft University of Technology,diplôme d'ingénieur
National Amusements,Sumner Redstone,Harvard College,
Invitalia,Domenico Arcuri,Nunziatella military academy,
Südwestbank,Wolfgang Kuhn,University of Erlangen–Nuremberg,
Just Eat Takeaway,Jitse Groen,University of Twente,
ICICI Bank,Sandeep Bakhshi,Punjab Engineering College,
Gerdau,André Johannpeter,University of Toronto,
"Koch, Inc.",Charles Koch,Massachusetts Institute of Technology,Master of Science
Gazprom Export,Elena Burmistrova,Northeastern University,
Gerdau,André Johannpeter,Hult International Business School,
Nedap,Ruben Wegman,Radboud University,
Ralph Lauren Corporation,Patrice Louvet,ESCP Business School,
Grupo PRISA,Carlos Núñez,Technical University of Valencia,
Wipro,Abidali Neemuchwala,National Institute of Technology Raipur,
The Home Depot,Frank Blake,Brooks School,
Smurfit Kappa Group,Anthony Smurfit,St Gerard's School,
UNI HOBBY,Jiří Šimáně,"Faculty of Law, Charles University in Prague",
Wipro,Abidali Neemuchwala,Indian Institute of Technology Bombay,
National Amusements,Sumner Redstone,Harvard Law School,
Telstra,David Thodey,Kellogg School of Management,
Telstra,David Thodey,Victoria University of Wellington,
Gerdau,André Johannpeter,The Wharton School,
Tishman Speyer,Jerry Speyer,Columbia Business School,
Indra Sistemas,José Vicente de los Mozos,Technical University of Madrid,
Skanska,Lars-Ove Håkansson,Chalmers University of Technology,
Telstra,David Thodey,Northwestern University,
Samse,Olivier Malfait,Emlyon Business School,
Smurfit Kappa Group,Anthony Smurfit,University of Scranton,
Skanska,Ulf Widerström,Royal Institute of Technology,
National Grid plc,John Pettigrew,Cardiff University,
Ralph Lauren Corporation,Patrice Louvet,University of Illinois Urbana-Champaign,
Telstra,David Thodey,Nelson College,
National Amusements,Sumner Redstone,Georgetown University Law Center,
ITI Group,Q9376606,University of Warsaw,
Skanska,Gösta Malm,Royal Institute of Technology,Master of Science in Engineering
GMV Innovating Solutions,Jesús Serrano Martínez,Technical University of Madrid,
Samse,Olivier Malfait,Institución Libre del Sagrado Corazón(Turcoing),
Danske Bank,Chris Vogelzang,University of Groningen,
Las Vegas Sands,Sheldon Adelson,City College of New York,
Telmex,Carlos Slim,National Autonomous University of Mexico,
ITI Group,Q9376606,Kiel University,
SCS Software,Pavel Šebor,"Faculty of Mathematics and Physics, Charles University",
Techcombank,Jens Lottner,TU Dresden,
Samse,Olivier Malfait,Lille University of Science and Technology,
Ferrovial,Ignacio Madridejos,Stanford Graduate School of Business,
Gerdau,André Johannpeter,Pontifícia Universidade Católica do Rio Grande do Sul,
Skanska,Ernst Wehtje,Lund University,
ING,Karien van Gennip,Aloysius College,Master of Business Administration
Harman International Industries,Dinesh Paliwal,Miami University,
Fidelity Investments,Abigail Johnson,Hobart and William Smith Colleges,
"Koch, Inc.",Charles Koch,Massachusetts Institute of Technology,Bachelor of Science
Techcombank,Jens Lottner,University of Bonn,
AMC Theatres,Adam Aron,Harvard University,
Fidelity Investments,Abigail Johnson,Harvard Business School,
Las Vegas Sands,Sheldon Adelson,Roxbury Memorial High School,
Ferrovial,Ignacio Madridejos,Technical University of Madrid,
Imperial Brands,Stefan Bomhard,Middlesex University,
GMV Innovating Solutions,Jesús Serrano Martínez,IESE Business School,
SAS Institute,James Goodnight,North Carolina State University,
Fidelity Investments,Abigail Johnson,Buckingham Browne & Nichols School,
"Nasdaq, Inc.",Adena Friedman,Owen Graduate School of Management,
Hero MotoCorp,Pawan Munjal,"National Institute of Technology, Kurukshetra",
Rusal,Oleg Deripaska,Plekhanov Russian Economic University,
VK,Boris Dobrodeyev,MSU Faculty of History,
Orlen,Daniel Obajtek,Private University of Environmental Sciences in Radom,
Philip Morris International,Jacek Olczak,University of Łódź,magister degree
Ukrnafta,Sergii Koretskyi,Ivano-Frankivsk National Technical University of Oil and Gas,
Orlen,Wojciech Jasiński,"Faculty of Law and Administration, University of Warsaw",
VK,Vladimir Kiriyenko,National Research University – Higher School of Economics,
VK,Vladimir Kiriyenko,Skolkovo Moscow School of Management,
Ukrnafta,Sergii Koretskyi,Kyiv Mohyla Business School,
Ukrnafta,Sergii Koretskyi,Lutsk National Technical University,
MTN Group,Ralph Mupita,Harvard University,
Spółdzielnia Mleczarska Mlekovita,Dariusz Sapiński,University of Agriculture and Technology in Olsztyn,
MTN Group,Ralph Mupita,University of Cape Town,
Morrisons,Rami Baitiéh,Q3578433,
Philip Morris International,Jacek Olczak,Q16617962,magister degree
Orlen,Piotr Kownacki,"Faculty of Law and Administration, University of Warsaw",
A1 Belarus,Helmut Duhs,University of Vienna,
Tesoro Corporation,Gregory J. Goff,University of Utah,
Philip Morris International,George Weissman,Townsend Harris High School,
Orlen,Igor Chalupec,University of Warsaw,
Morrisons,Rami Baitiéh,SGH Warsaw School of Economics,
Orlen,Igor Chalupec,SGH Warsaw School of Economics,
Morrisons,Rami Baitiéh,Université du Québec à Montréal,
Mamut,Eilert Hanoa,BI Norwegian Business School,
Orlen,Dariusz Jacek Krawiec,Poznań University of Economics,
A1 Belarus,Helmut Duhs,University for Continuing Education Krems,
WW International,Mindy Grossman,Manhattanville University,
Swift Engineering,Hiro Matsushita,Konan University,
Philip Morris International,George Weissman,Zicklin School of Business,
Philip Morris International,George Weissman,Baruch College,
WW International,Mindy Grossman,George Washington University,
Philip Morris International,Hamish Maxwell,University of Cambridge,
Synopsys,Aart de Geus,Cox School of Business,
Coca-Cola Amatil,Terry Davis,University College London,
IGATE Patni,Ashok Vemuri,St. Stephen's College,
The New York Times Company,Janet L. Robinson,Tuck School of Business,
J.Crew,Millard Drexler,Questrom School of Business,
Coca-Cola Amatil,Terry Davis,University of Michigan,
Fosun International Limited,Xu Xiaoliang,East China Normal University,
Kimberly-Clark,Thomas J. Falk,Sloan Fellows Program,
Naspers,Bob van Dijk,Erasmus University Rotterdam,
Cantor Fitzgerald,Howard Lutnick,Haverford College,
KeyBank,Beth E. Mooney,Southern Methodist University,
Fresnillo plc,Octavio Alvídrez,Universidad de Guanajuato,
Grup Agbar,Àngel Simón Grimaldos,ESADE,
J.Crew,Millard Drexler,Bronx High School of Science,
Under Armour,Kevin Plank,University of Maryland,
J.Crew,Millard Drexler,State University of New York at Buffalo School of Management,
Under Armour,Kevin Plank,Fork Union Military Academy,
Tauron Polska Energia,Filip Grzegorczyk,Jagiellonian University,habilitation
ITV plc,Carolyn McCall,University of Kent,
Zaporizhstal,Q4534729,National University of Science and Technology,
ITV plc,Carolyn McCall,University of London,
Westpac,Brian Hartzer,Princeton University,
Under Armour,Kevin Plank,Robert H. Smith School of Business,
Under Armour,Kevin Plank,St. John's College High School,
Under Armour,Kevin Plank,Georgetown Preparatory School,
Hargreaves Lansdown,Chris Hill,Keble College,
Lokomo,Werner Ryselin,Oulun Lyseon Lukio,
Kimberly-Clark,Thomas J. Falk,Wisconsin School of Business,
DLF Limited,Kushal Pal Singh,Meerut College,
Cantor Fitzgerald,Howard Lutnick,Jericho High School,
Westpac,Brian Hartzer,Choate Rosemary Hall,
Comodo Group,Melih Abdülhayoğlu,University of Bradford,
Lorillard Tobacco Company,Murray S. Kessler,Villanova University,
Coca-Cola Amatil,Terry Davis,Ross School of Business,
Maple Leaf Foods,Michael McCain,Mount Allison University,
IGATE Patni,Ashok Vemuri,Indian Institute of Management Ahmedabad,
Petrofac,Ayman Asfari,The Wharton School,
Meggitt,Tony Wood,INSEAD,
UnitedHealth Group,Andrew Witty,University of Nottingham,
Petrofac,Ayman Asfari,Villanova University,
KeyBank,Beth E. Mooney,University of Texas at Austin,
Sun Hung Kai Properties,Kwok Ping Sheung Walter,Imperial College London,
Yelp,Jeremy Stoppelman,Langley High School,
Wilmar International,Kuok Khoon Hong,Desautels Faculty of Management,
Bank Hapoalim B.M.,Dov Kotler,Tel Aviv University,
Coca-Cola Amatil,Terry Davis,"King Edward VI College, Stourbridge",
Tauron Polska Energia,Filip Grzegorczyk,Jagiellonian University,Legum Doctor
Prudential Financial,John Strangfeld,University of Virginia,
Prudential Financial,John Strangfeld,University of Virginia Darden School of Business,
Hargreaves Lansdown,Chris Hill,Cheltenham College,
RSA Insurance Group,Stephen Hester,Easingwold School,
ITV plc,Carolyn McCall,UCL Institute of Education,
Meggitt,Tony Wood,The Open University,
Zaporizhstal,Rostyslav Shurma,National University of Kyiv-Mohyla Academy,
Yelp,Jeremy Stoppelman,University of Illinois Urbana-Champaign,
Yelp,Jeremy Stoppelman,Harvard Business School,
Lorillard Tobacco Company,Murray S. Kessler,Stern School of Business,
Walgreens,Gregory Wasson,Purdue University,
RSA Insurance Group,Stephen Hester,Lady Margaret Hall,
OYSHO,Sergio Bucher,Swiss Federal Institute of Technology in Lausanne,
"Landry's, Inc.",Tilman J. Fertitta,Texas Tech University,
"Landry's, Inc.",Tilman J. Fertitta,University of Houston,
Budweiser Budvar,Petr Dvořák,"Faculty of Social Sciences, Charles University",
Palantir Technologies,Q19560940,Stanford University,
Primark,Arthur Ryan,Synge Street CBS,
CVS Pharmacy,Larry Merlo,University of Pittsburgh,
Obolon CJSC,Olexander Slobodian,National University of Food Technologies,
Prudential Financial,John Strangfeld,Susquehanna University,
Federal Reserve Bank of Minneapolis,Neel Kashkari,The Wharton School,
Allstate,Tom Wilson,University of Michigan,
Fosun International Limited,Liang Xinjun,Fudan University,
The New York Times Company,Mark Thompson,Merton College,
Palantir Technologies,Q19560940,Haverford College,
"Toys ""R"" Us",David Brandon,University of Michigan,
Fosun International Limited,Wang Qunbin,Fudan University,
Sitecore,Michael Seifert,University of Copenhagen,
LEO Pharma,Catherine Mazzacco,University of Technology of Compiègne,
Dniproenergo,Rinat Akhmetov,Vasyl' Stus Donetsk National University,
Atresmedia,Javier Bardaji Hernando,School of Communication of University of Navarra,
Allstate,Tom Wilson,Kellogg School of Management,
Atresmedia,Javier Bardaji Hernando,IESE Business School,
UGI Corporation,John L. Walsh Jr.,Harvard University,
"Landry's, Inc.",Tilman J. Fertitta,Westchester Academy for International Studies,
Zaporizhstal,Isaac Rogachevskiy,Kharkov Institute of National Economy,
Synopsys,Aart de Geus,Southern Methodist University,
Federal Reserve Bank of Minneapolis,Neel Kashkari,University of Illinois Urbana-Champaign,
Allstate,Tom Wilson,Lake Shore High School,
Primark,Paul Marchant,Bexley Grammar School,
TPG,Jon Winkelried,University of Chicago,
Palantir Technologies,Q19560940,Goethe University Frankfurt,
Zaporizhstal,Vitalii Satskyi,National Metallurgical Academy of Ukraine,Doctor in Engineering
Liberty,Geoffroy de la Bourdonnaye,INSEAD,
7-Eleven Japan,Fumihiko Nagamatsu,Tokyo Keizai University,
Croda International,Steve Foots,University of York,
Naspers,Bob van Dijk,INSEAD,
The New York Times Company,Mark Thompson,Stonyhurst College,
J.Crew,Millard Drexler,University at Buffalo,
Groupe Malakoff Médéric,Guillaume Sarkozy,"École spéciale des travaux publics, du bâtiment et de l'industrie",
O2 Czech Republic,Jindřich Fremuth,Prague University of Economics and Business,
CVS Pharmacy,Larry Merlo,University of Pittsburgh School of Pharmacy,
Federal Reserve Bank of Minneapolis,Neel Kashkari,Western Reserve Academy,
Allstate,Tom Wilson,Ross School of Business,
PPF Group,Kateřina Jirásková,Prague University of Economics and Business,
Kimberly-Clark,Thomas J. Falk,Stanford University,
Ameriprise Financial,James Cracchiolo,Stern School of Business,
Liberty,Geoffroy de la Bourdonnaye,Emlyon Business School,
Whole Foods Market,John Mackey,University of Texas at Austin,
Fresnillo plc,Octavio Alvídrez,The Wharton School,
Grup Agbar,Àngel Simón Grimaldos,Polytechnic University of Catalonia,
J.Crew,Millard Drexler,Boston University,
Synopsys,Aart de Geus,Swiss Federal Institute of Technology in Lausanne,
TPG,Jon Winkelried,Booth School of Business,
Walgreens,Stefano Pessina,Polytechnic University of Milan,
Zaporizhstal,Anatoly Kuzmin,Saint Petersburg Mining University,
Charlotte Russe,Jenny Ming,San Jose State University,
"Toys ""R"" Us",David Brandon,South Lyon High School,
Kimberly-Clark,Thomas J. Falk,Stanford Graduate School of Business,
Maple Leaf Foods,Michael McCain,University of Western Ontario,
Nidec,Shigenobu Nagamori,Polytechnic University,
Guardian Media Group,Carolyn McCall,University of London,
Guardian Media Group,Bob Phillis,University of Nottingham,
Nakhodka Active Marine Fishery Base,Nikolai Kotlyar,Far East State Technical Fisheries University,
Suzuki Motor Corporation,Suzuki Osamu,University of Osaka,
Zillow,Rich Barton,Stanford University,
Guardian Media Group,Bob Phillis,John Ruskin College,
Carnival Corporation,Arnold W. Donald,Carleton College,
Solidcore Resources,Vitaly Nesis,Saint Petersburg Mining University,
Fitbit,James Park,Harvard University,
London Stock Exchange Group,David Schwimmer,Harvard Law School,
Carnival Corporation,Arnold W. Donald,St. Augustine High School,
Seznam.cz,Ivo Lukačovič,Smíchovská střední průmyslová škola,
Naviera Sota y Aznar,Ramón de la Sota Aburto,King's College London,
Whitbread,Andy Harrison,Pembroke College,
Seznam.cz,Ivo Lukačovič,Czech Technical University in Prague,
Rivian Automotive,"Robert ""RJ"" Scaringe",Massachusetts Institute of Technology,
Fitbit,James Park,Harvard College,
Whitbread,Andy Harrison,Bristol Grammar School,
Whitbread,Andy Harrison,Cranfield School of Management,
Rivian Automotive,"Robert ""RJ"" Scaringe",Rensselaer Polytechnic Institute,
AB Volvo,Martin Lundstedt,Chalmers University of Technology,
Guardian Media Group,Carolyn McCall,UCL Institute of Education,
Autonomy Corporation,Q6833839,Christ's College,Doctor of Philosophy
Suzuki Motor Corporation,Suzuki Osamu,"Faculty of Law, Chuo University",
Homeserve,Richard Harpin,University of York,
Olympstroy,Semyon Vainshtok,Kyiv National University of Construction and Architecture,Doktor Nauk in Sociology
Ufa Engine Building Production Association,Yevgeny Semivelichenko,Bashkir State University,Doctor in Engineering
Sozvezdie,Q83373455,Voronezh State University,Doctor in Engineering
Whitbread,Alison Brittain,Cambridge Judge Business School,
Golden Rule Insurance Company,Patrick F. Carr,Indiana University,
Porsche,Oliver Blume,TU Braunschweig,
Höegh Autoliners,Andreas Enger,Norwegian University of Science and Technology,
Sozvezdie,Q17057520,MSU Faculty of Physics,Candidate of Sociological sciences
Vulcan Inc.,Paul Allen,Harvard University,
Rivian Automotive,"Robert ""RJ"" Scaringe",MIT Sloan School of Management,
Builders Vision,Lukas Walton,Colorado College,
Carnival Corporation,Arnold W. Donald,Washington University in St. Louis,
Energy Transfer,Kelcy Warren,University of Texas at Arlington,
Daiso,Hirotake Yano,Chuo University,
Porsche,Oliver Blume,Tongji University,
Azerfon-Vodafone,Kent McNeley,Iowa State University,
Vertiv,Giordano Albertazzi,Stanford University,
Wolfspeed,Gregg Lowe,Rose–Hulman Institute of Technology,
Harley-Davidson,Jochen Zeitz,EBS Universität für Wirtschaft und Recht,
Energy Transfer,Kelcy Warren,White Oak High School,
Vulcan Inc.,Paul Allen,Lakeside School,
Honda,Takahiro Hachigō,Tokyo City University,
Fitbit,James Park,University School,
Techstars,Maelle Gavet,Sciences Po,
NKT,Alexander Kara,Technische Universität Berlin,
American Airlines Group,Doug Parker,Albion College,
Sozvezdie,Aleksey Bocharov,Ryazan State Radio Engineering University,
Techstars,Maelle Gavet,Sorbonne University,
American Airlines Group,Doug Parker,Vanderbilt University,
Q4038593,Ryszard Florek,Kraków University of Technology,
Techstars,Maelle Gavet,École normale supérieure de lettres et sciences humaines,
Q3736101,Lucio Stanca,Bocconi University,
DTEK,Maxim Timchenko,University of Manchester,
Whitbread,Alison Brittain,University of Stirling,
Rivian Automotive,"Robert ""RJ"" Scaringe",Melbourne Central Catholic High School,
"Roku, Inc.",Anthony Wood,Texas A&M University,
Olympstroy,Sergey Gaplikov,Bauman Moscow State Technical University,
GlobalLogic,Peter Harrison,Kingston College,
LiAZ,Alexander Kazakov,Sevastopol,
IHG Hotels & Resorts,Richard Solomons,University of Manchester,
Dunkin' Brands,Nigel Travis,Middlesex University,
National Media Group,Olga Paksina,Volgograd State University,
Vulcan Inc.,Paul Allen,Washington State University,
IHG Hotels & Resorts,Keith Barr,Cornell University School of Hotel Administration,
Russian Standard Corporation,Roustam Tariko,Russian University of Transport,
Olympstroy,Sergey Gaplikov,Moscow State Institute of International Relations,
Australian Research Data Commons,Rosie Hicks,Oxford Brookes University,
Vertiv,Giordano Albertazzi,Polytechnic University of Milan,
Olympstroy,Sergey Gaplikov,All-Russian Academy of Foreign Trade,
CKE Restaurants,Andrew Puzder,Kent State University,
Australian Research Data Commons,Rosie Hicks,Stanford Graduate School of Business,
Energetický a průmyslový holding,Daniel Křetínský,University of Burgundy Europe,
Real American Beer,Terri Francis,University of Notre Dame Australia,
Autonomy Corporation,Q6833839,Bancrofts School,Doctor of Philosophy
Giovanni Agnelli,John Elkann,Lycée Victor Duruy,
T. Rowe Price,Bill Stromberg,Tuck School of Business,
National Media Group,Olga Paksina,The Wharton School,
Ural Heavy Electric Machinery Plant,Q111403303,Moscow Power Engineering Institute,Candidate of Technical Sciences
Primerica,Glenn J. Williams,Montclair State University,
Giovanni Agnelli,John Elkann,Polytechnic University of Turin,
166 2nd Financial Services,Adam Neumann,Zicklin School of Business,
166 2nd Financial Services,Adam Neumann,Baruch College,
HCL Technologies,C Vijayakumar,"Lawrence School, Lovedale",
National Media Group,Olga Paksina,"University of California, Berkeley",
Real American Beer,Terri Francis,University of Melbourne,
T. Rowe Price,Bill Stromberg,Johns Hopkins University,
HCL Technologies,C Vijayakumar,PSG College of Technology,
DTEK,Maxim Timchenko,Donetsk Academy of Management and Public Administration,
Northgas,Farkhad Akhmedov,Moscow State Academy of Veterinary Medicine and Biotechnology,Candidate of Economic Sciences
Energetický a průmyslový holding,Daniel Křetínský,Masaryk University,
Q3736101,Giuseppe Sala,Bocconi University,
London Stock Exchange Group,David Schwimmer,Yale University,
SandRidge Energy,Tom L. Ward,University of Oklahoma,
National Media Group,Olga Paksina,Volgograd State Technical University,
VanMoof,Taco Carlier,Delft University of Technology,
Solidcore Resources,Vitaly Nesis,Yale University,
London Stock Exchange Group,David Schwimmer,The Fletcher School of Law and Diplomacy,
T. Rowe Price,Bill Stromberg,Dartmouth College,
Australian Research Data Commons,Rosie Hicks,University of New South Wales,
CKE Restaurants,Andrew Puzder,Washington University in St. Louis,
T. Rowe Price,Bill Stromberg,Loyola Blakefield,
Sozvezdie,Azret Bekkiev,MSU Faculty of Physics,Doctor in Engineering
Ufa Engine Building Production Association,Yevgeny Semivelichenko,Ufa State Aviation Technical University,Doctor in Engineering
Sozvezdie,Vasily Borisov,Voronezh State University,Doctor in Engineering
Guardian Media Group,Carolyn McCall,University of Kent,
Primerica,Glenn J. Williams,Seton Hall University School of Law,
Q11780246,Jacek Piotrowski,University of Wrocław,doctorate
Q11780246,Jacek Piotrowski,University of Wrocław,habilitation
IMAX Corporation,Richard Gelfond,Northwestern University Pritzker School of Law,
Unimex Group,Jiří Šimáně,"Faculty of Law, Charles University in Prague",
"GMA Network, Inc.",Felipe Gozon,University of the Philippines,
Exatel,Nikodem Bończa-Tomaszewski,University of Warsaw,
The Bookmaker Ratings,Asker Thalidzhokov,Berbekov Kabardino-Balkarian State University,
Oponeo.pl,Dariusz Topolewski,Nicolaus Copernicus University in Toruń,
Fiat Chrysler Automobiles,Michael Manley,Ashridge Executive Education,
Viva Armenia,Ralph Yirikian,American University of Beirut,
Reuters,Stephen J. Adler,Harvard University,
Q10434676,Maciej Mróz,Krzysztofa Kamila Baczyńskiego we Wrocławiu,doctorate
Q10434676,Maciej Mróz,Krzysztofa Kamila Baczyńskiego we Wrocławiu,habilitation
bKash,Kamal Quadir,MIT Sloan School of Management,
Saba Infraestructuras S.A.,Salvador Alemany,University of Barcelona,
Technická správa komunikací hl. m. Prahy,Jozef Sinčák,"Faculty of Mathematics and Physics, Charles University",
Q9371700,Andrzej Warzecha,Jagiellonian University,
Bumble Holding Limited,Whitney Wolfe Herd,Judge Memorial Catholic High School,
Turner Broadcasting System,John K. Martin Jr.,The Wharton School,
Ergis,Tadeusz Nowicki,Warsaw University of Technology,Doctor of Philosophy
New Line Cinema,Michael Lynne,Brooklyn College,
PKA,Peter Damgaard Jensen,Aarhus University,
Magellan,Krzysztof Kawalec,University of Wrocław,scientific professorship degree
Theranos,Elizabeth Holmes,St. John's School,
Tramwaje Warszawskie,Wojciech Bartelski,University of Warsaw,
Newman's Own,Nell Newman,College of the Atlantic,
DreamWorks,Jeff Small,George Walton Comprehensive High School,
Zemský hřebčinec Písek,Karel Kratochvíle,University of South Bohemia in České Budějovice,
Top Media Group,Lori Hoxha,Regent's University London,
Relativity Media,Ryan Kavanaugh,"University of California, Los Angeles",
The General Health Insurance Company,Ivan Duškov,"Faculty of Humanities, Charles University",
The General Health Insurance Company,Ivan Duškov,"Faculty of Social Sciences, Charles University",
Svenska Järnvägsverkstäderna,Q135017074,Chalmers University of Technology,
NFI Empik Media & Fashion,Maciej Szymański,University of Silesia in Katowice,doctorate
Relativity Media,Ryan Kavanaugh,Brentwood School,
bKash,Kamal Quadir,Oberlin College,
Newman's Own,Nell Newman,The Putney School,
Acciona Energía,Rafael Mateo Alcalá,University of Zaragoza,
Q9266148,Sylwester Smigiel,Warsaw University of Life Sciences,
Q11747777,Piotr Alicki,Adam Mickiewicz University in Poznań,
Q124488378,Antoine-Marie Izoard,Toulouse journalism school,
Partners Financial Services,Petr Borkovec,Provozně ekonomická fakulta Mendelovy univerzity v Brně,
Thomas Agnew & Sons,Geoffrey Agnew,Trinity College,
Thomas Agnew & Sons,Geoffrey Agnew,Eton College,
