companyLabel,executiveLabel,universityLabel,degreeLabel
Proximus Group,Guillaume Boutin,Telecom SudParis,
Comcast,Brian L. Roberts,The Wharton School,
Vodafone,Arun Sarin,Indian Institute of Technology Kharagpur,
Vodafone,Arun Sarin,"University of California, Berkeley",
HP Inc.,Enrique Lores,ESADE Business School,
Cybatar,Phiwa Nkambule,Cefups Academy,
Cybatar,Phiwa Nkambule,University of Pretoria,
The Walt Disney Company,Bob Chapek,Indiana University Bloomington,
HP Inc.,Enrique Lores,ESADE,
Saudi Public Relations Company,Khaled Al Maeena,University of Karachi,
FiberCop,Luigi Ferraris,University of Genoa,
Vodafone,Nick Read,Manchester Metropolitan University,
Vodafone,Arun Sarin,Haas School of Business,
Rosewood Hotel Group,Sonia Cheng,Harvard College,
Equinor ASA,Anders Opedal,Norwegian Institute of Technology,
The Walt Disney Company,Bob Chapek,Michigan State University,
3 Italy,Vincenzo Novari,University of Genoa,
3i,Simon Borrows,Rossall School,
Vodafone,Arun Sarin,Bangalore Military School,
Cybatar,Phiwa Nkambule,CFA Institute,
3i,Simon Borrows,London Business School,
SJRL1999,Jhon Rebatta Lam,Northwest Missouri State University,
Comcast,Brian L. Roberts,Germantown Academy,
Rosinger Group,Gregor Rosinger,Graz University of Technology,Diploma of Engineering
3i,Simon Borrows,University of London,
Orange Egypt,Jean-Marc Harion,Sciences Po,
Kirkelig Kulturverksted AS,Erik Hillestad,University of Oslo,
Three UK,David Dyson,Bury Grammar School,
3i,Simon Borrows,Queen Mary University of London,
Eli Lilly and Company,Sidney Taurel,HEC Paris,
Yum! Brands,Greg Creed,Queensland University of Technology,
Karunia Permai Sentosa,Donald J. Hermanus,Tarumanagara University,
Obi Nickel Cobalt,Donald J. Hermanus,Tarumanagara University,
Uber,Dara Khosrowshahi,Brown University,
JEMS Architekci,Wojciech Zych,SGH Warsaw School of Economics,
Bumindo Mekar Wibawa,Nono Sampono,Indonesian Naval Academy,
Ipsen,Aymeric Le Chatelier,HEC Paris,
Eli Lilly and Company,David A. Ricks,Purdue University,
Uber,Dara Khosrowshahi,Hackley School,
IBM,Arvind Krishna,University of Illinois Urbana-Champaign,
Yum! Brands,Greg Creed,MacGregor State High School,
Novartis,Vasant Narasimhan,University of Chicago,
